Point no;Nu Name;I/D;Crop;Province;Lat(-);Long (  );Cultivar;Planting date;Tillers;Plants / 10m;Row width;Ears;Moist %;Grain mass
K7C;;D;WM;EC;-31.65347; 28.66992;PAN ROUNDUP;2017/12/22;;;0,76;41;11,30;28,48
K7D;;D;WM;EC;-31.65346; 28.66981;PAN ROUNDUP;2017/12/22;;;0,76;31;12,00;34,16
K7E;;D;WM;EC;-31.65350; 28.66976;PAN ROUNDUP;2017/12/22;;;0,76;17;12,80;112,14
M8A;;D;YM;EC;-31.21889; 29.00084;KKS8408R;2017/12/24;1;11;1,00;16;12,40;152,17
M8B;;D;YM;EC;-31.21903; 29.00095;KKS8408R;2017/12/25;;;1,00;18;12,60;149,96
M8C;;D;YM;EC;-31.21912; 29.00095;KKS8408R;2017/12/26;;;1,00;19;12,40;181,72
M8D;;D;YM;EC;-31.21951; 29.00103;KKS8408R;2017/12/27;;;1,00;25;12,60;158,24
M8E;;D;YM;EC;-31.21942; 29.00120;KKS8408R;2017/12/28;;;1,00;17;11,40;155,52
M9A;;D;YM;EC;-31.20847; 28.90694;ROUNDUP READY;2018/01/05;1;18;0,92;22;12,80;77,61
M9B;;D;YM;EC;-31.20837; 28.90692;ROUNDUP READY;2018/01/05;;;0,92;23;13,00;80,88
M9C;;D;YM;EC;-31.20876; 28.90689;ROUNDUP READY;2018/01/05;;;0,92;23;12,00;75,83
M9D;;D;YM;EC;-31.20888; 28.90700;ROUNDUP READY;2018/01/05;;;0,92;17;15,60;156,37
